Driver Name                                                                     Version              Build Date  Vendor
Local Print Queue                                                               10.0.17134.1         20060621    Microsoft
Local Print Queue                                                               10.0.17134.1         20060621    Microsoft
Local Print Queue                                                               10.0.17134.1         20060621    Microsoft
Local Print Queue                                                               10.0.17134.1         20060621    Microsoft
Local Print Queue                                                               10.0.17134.1         20060621    Microsoft
WAN Miniport (Network Monitor)                                                  10.0.17134.1         20060621    Microsoft
WAN Miniport (IPv6)                                                             10.0.17134.1         20060621    Microsoft
WAN Miniport (IP)                                                               10.0.17134.1         20060621    Microsoft
WAN Miniport (PPPOE)                                                            10.0.17134.1         20060621    Microsoft
WAN Miniport (PPTP)                                                             10.0.17134.1         20060621    Microsoft
WAN Miniport (L2TP)                                                             10.0.17134.1         20060621    Microsoft
WAN Miniport (IKEv2)                                                            10.0.17134.1         20060621    Microsoft
WAN Miniport (SSTP)                                                             10.0.17134.1         20060621    Microsoft
Remote Desktop Device Redirector Bus                                            10.0.17134.1         20060621    Microsoft
Plug and Play Software Device Enumerator                                        10.0.17134.1         20180410    Microsoft
Microsoft System Management BIOS Driver                                         10.0.17134.1         20060621    Microsoft
NDIS Virtual Network Adapter Enumerator                                         10.0.17134.1         20060621    Microsoft
NVVHCI Enumerator                                                               2.2.2151.6378        20161227    NVIDIA
NVIDIA Virtual Audio Device (Wave Extensible) (WDM)                             3.80.1.0             20170412    NVIDIA
Microsoft Basic Render Driver                                                   10.0.17134.1         20060621    Microsoft
System Firmware                                                                 10.0.17134.1         20060621    Microsoft
Microsoft UEFI-Compliant System                                                 10.0.17134.112       20060621    Microsoft
ACPI Fixed Feature Button                                                       10.0.17134.1         20060621    Microsoft
Intel(R) Dynamic Platform and Thermal Framework Manager                         8.2.11000.2996       20160810    Intel
ACPI Thermal Zone                                                               10.0.17134.1         20060621    Microsoft
HID-compliant wireless radio controls                                           10.0.17134.112       20060621    Microsoft
ASUS Wireless Radio Control                                                     1.0.0.7              20170502    ASUS
Microsoft Windows Management Interface for ACPI                                 10.0.17134.1         20060621    Microsoft
Trusted Platform Module 2.0                                                     10.0.17134.1         20060621    Microsoft
ACPI Power Button                                                               10.0.17134.1         20060621    Microsoft
Intel(R) Power Engine Plug-in                                                   10.0.17134.1         20060621    Microsoft
ACPI Sleep Button                                                               10.0.17134.1         20060621    Microsoft
