Win 32 APPs Name                                                                                    | Version              
Microsoft DCF MUI (Chinese (Traditional)) 2016                                                        16.0.4266.1001       
Microsoft Office Professional Plus 2016                                                               16.0.4266.1001       
Microsoft OneNote MUI (Chinese (Traditional)) 2016                                                    16.0.4266.1001       
Microsoft Office 32-bit Components 2016                                                               16.0.4266.1001       
Microsoft Office Shared 32-bit MUI (Chinese (Traditional)) 2016                                       16.0.4266.1001       
Microsoft Office OSM MUI (Chinese (Traditional)) 2016                                                 16.0.4266.1001       
Microsoft Office OSM UX MUI (Chinese (Traditional)) 2016                                              16.0.4266.1001       
Microsoft InfoPath MUI (Chinese (Traditional)) 2016                                                   16.0.4266.1001       
Microsoft Access MUI (Chinese (Traditional)) 2016                                                     16.0.4266.1001       
Microsoft Excel MUI (Chinese (Traditional)) 2016                                                      16.0.4266.1001       
Microsoft PowerPoint MUI (Chinese (Traditional)) 2016                                                 16.0.4266.1001       
Microsoft Publisher MUI (Chinese (Traditional)) 2016                                                  16.0.4266.1001       
Microsoft Outlook MUI (Chinese (Traditional)) 2016                                                    16.0.4266.1001       
Microsoft Groove MUI (Chinese (Traditional)) 2016                                                     16.0.4266.1001       
Microsoft Word MUI (Chinese (Traditional)) 2016                                                       16.0.4266.1001       
Microsoft Skype for Business MUI (Chinese (Traditional)) 2016                                         16.0.4266.1001       
Microsoft Office Proofing (Chinese (Traditional)) 2016                                                16.0.4266.1001       
Microsoft Office Shared MUI (Chinese (Traditional)) 2016                                              16.0.4266.1001       
Microsoft Office 校訂工具 2016 - 繁體中文                                                                     16.0.4266.1001       
Microsoft Office Proofing Tools 2016 - English                                                        16.0.4266.1001       
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack                                                   4.5.50932            
Visual C++ Library CRT Desktop Appx Package                                                           14.13.26128          
Python 3.6.3 Tcl/Tk Support (64-bit symbols)                                                          3.6.3150.0           
vs_FileTracker_Singleton                                                                              15.6.27309           
Microsoft .NET Core Host - 2.0.5 (x64)                                                                16.20.26021          
Microsoft ASP.NET Web Tools Packages 15.0 - ENU                                                       1.0.21214.0          
Microsoft .NET Framework 4.6.1 SDK                                                                    4.6.01055            
Microsoft Visual Studio Team Foundation Server 2017 RC Office Integration (x64)                       15.129.27509         
Windows SDK Desktop Headers x64                                                                       10.1.16299.15        
vs_minshellmsi                                                                                        15.6.27421           
Microsoft .NET Framework 4.5 Multi-Targeting Pack                                                     4.5.50710            
Windows Deployment Customizations                                                                     10.1.17134.1         
QPST 2.7                                                                                              2.7.471              
WinRT Intellisense Desktop - Other Languages                                                          10.1.16299.15        
Microsoft .NET CoreRuntime For CoreCon                                                                1.0.0.0              
Microsoft ASP.NET Diagnostic Pack for Visual Studio                                                   15.0.40301.0         
Mixed Reality Validation Kit Packages                                                                 10.1.17658.1030      
Microsoft Visual C++ 2017 x86 Additional Runtime - 14.12.25810                                        14.12.25810          
vcpp_crt.redist.clickonce                                                                             14.13.26020          
Universal General MIDI DLS Extension SDK                                                              10.1.16299.15        
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                                           10.0.40219           
Python 3.6.3 Tcl/Tk Support (64-bit)                                                                  3.6.3150.0           
