Driver Name                                                                     | Version              
Local Print Queue                                                                 10.0.17134.1         
Local Print Queue                                                                 10.0.17134.1         
Local Print Queue                                                                 10.0.17134.1         
Local Print Queue                                                                 10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Generic software device                                                           10.0.17134.1         
WAN Miniport (Network Monitor)                                                    10.0.17134.1         
WAN Miniport (IPv6)                                                               10.0.17134.1         
WAN Miniport (IP)                                                                 10.0.17134.1         
WAN Miniport (PPPOE)                                                              10.0.17134.1         
WAN Miniport (PPTP)                                                               10.0.17134.1         
WAN Miniport (L2TP)                                                               10.0.17134.1         
WAN Miniport (IKEv2)                                                              10.0.17134.1         
WAN Miniport (SSTP)                                                               10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Generic software device                                                           10.0.17134.1         
Remote Desktop Device Redirector Bus                                              10.0.17134.1         
Plug and Play Software Device Enumerator                                          10.0.17134.1         
Microsoft System Management BIOS Driver                                           10.0.17134.1         
NDIS Virtual Network Adapter Enumerator                                           10.0.17134.1         
NVVHCI Enumerator                                                                 2.2.2151.6378        
NVIDIA Virtual Audio Device (Wave Extensible) (WDM)                               4.6.0.0              
Microsoft Basic Render Driver                                                     10.0.17134.1         
System Firmware                                                                   10.0.17134.1         
Microsoft UEFI-Compliant System                                                   10.0.17134.112       
ACPI Fixed Feature Button                                                         10.0.17134.1         
Motherboard resources                                                             10.0.17134.1         
Intel(R) Dynamic Platform and Thermal Framework Manager                           8.4.11000.6436       
ACPI Thermal Zone                                                                 10.0.17134.1         
ASUS System Control Interface                                                     1.0.18.0             
HID-compliant wireless radio controls                                             10.0.17134.112       
ASUS Wireless Radio Control                                                       1.0.0.9              
Microsoft Windows Management Interface for ACPI                                   10.0.17134.1         
ATK Package (ASUS Keyboard Hotkeys) Device                                        2.0.3.0              
Trusted Platform Module 2.0                                                       10.0.17134.1         
ACPI Power Button                                                                 10.0.17134.1         
Intel(R) Power Engine Plug-in                                                     10.0.17134.1         
Microsoft Windows Management Interface for ACPI                                   10.0.17134.1         
Microsoft Windows Management Interface for ACPI                                   10.0.17134.1         
ACPI Sleep Button                                                                 10.0.17134.1         
ACPI Processor Aggregator                                                         10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
Intel Processor                                                                   10.0.17134.1         
